employee_id,overtime_hrs,manager_changes,engagement,left_company
1,327.78,352.8,34,1
2,244.07,328.76,32,1
3,256.34,296.9,49,1
4,370.04,94.95,72,0
5,250.67,286.79,61,1
6,47.5,54.75,29,0
7,213.65,218.5,94,0
8,494.89,388.01,88,1
9,91.93,299.59,66,0
10,410.12,205.24,81,1
11,122.38,81.96,63,0
12,118.28,133.23,46,0
13,30.35,335.58,78,0
14,62.56,391.63,76,0
15,359.54,421.02,47,1
16,488.88,37.43,86,1
17,147.19,402.03,63,1
18,164.27,401.38,32,1
19,59.3,332.93,41,0
20,460.93,441.12,59,1
21,151.77,387.84,92,1
22,464.07,192.97,93,1
23,266.99,86.86,84,0
24,128.4,481.08,86,1
25,363.83,56.9,20,0
26,444.52,92.05,35,0
27,442.58,257.0,91,1
28,63.48,182.05,46,0
29,152.84,454.3,54,1
30,292.34,202.84,86,0
31,72.82,444.87,29,0
32,231.05,356.22,22,1
33,81.45,403.36,76,0
34,37.16,197.59,94,0
35,175.74,277.32,39,0
36,301.19,499.18,42,1
37,498.43,100.97,76,1
38,222.74,472.31,68,1
39,99.05,103.58,46,0
40,77.13,135.15,71,0
41,332.99,469.53,88,1
42,99.14,419.61,84,1
43,150.41,100.72,89,0
44,237.15,187.66,91,0
45,225.76,317.54,57,1
46,180.89,87.74,89,0
47,130.45,474.47,51,1
48,338.07,414.11,21,1
49,256.6,41.42,83,0
50,129.48,144.07,25,0
51,243.37,328.04,85,1
52,200.26,414.9,44,1
53,124.4,30.67,74,0
54,449.56,81.83,22,0
55,101.25,62.3,58,0
56,434.18,124.54,39,1
57,246.03,252.9,70,0
58,280.06,325.24,81,1
59,491.69,329.96,28,1
60,437.22,21.55,48,0
61,322.56,333.64,71,1
62,108.12,268.04,60,0
63,207.02,481.51,72,1
64,219.36,433.44,74,1
65,83.1,157.86,53,0
66,101.77,84.31,85,0
67,468.15,224.43,22,1
68,369.23,480.78,54,1
69,124.97,412.65,61,1
70,372.61,111.81,70,0
71,137.24,431.16,27,1
72,112.43,123.31,38,0
73,110.19,182.58,70,0
74,20.81,462.89,34,0
75,268.68,422.39,54,1
76,468.94,215.74,88,1
77,438.24,406.18,20,1
78,282.32,73.25,39,0
79,465.5,168.63,56,1
80,198.33,312.72,55,0
81,228.2,342.77,53,1
82,436.76,52.48,40,0
83,256.98,190.97,43,0
84,411.43,294.8,80,1
85,99.1,68.25,44,0
86,120.49,121.01,22,0
87,262.29,182.49,55,0
88,66.18,432.28,33,0
89,326.07,346.21,83,1
90,422.96,119.69,76,1
91,401.66,76.19,93,0
92,113.34,391.48,59,0
93,323.61,243.3,76,1
94,449.98,103.23,22,0
95,418.89,402.41,24,1
96,308.79,471.49,23,1
97,79.21,97.51,49,0
98,156.4,488.17,74,1
99,99.52,82.0,74,0
100,314.28,176.82,42,0
101,61.32,73.35,45,0
102,306.8,475.58,30,1
103,94.08,229.25,24,0
104,334.4,147.24,75,0
105,275.65,46.25,25,0
106,81.26,364.92,33,0
107,471.91,230.76,88,1
108,60.5,66.53,48,0
109,390.29,420.06,78,1
110,293.99,179.24,88,0
111,412.41,339.09,58,1
112,10.6,474.23,78,0
113,112.55,102.49,30,0
114,329.52,214.1,77,1
115,281.68,332.61,57,1
116,407.1,129.82,53,0
117,434.54,383.64,69,1
118,105.52,195.29,57,0
119,473.59,485.92,64,1
120,164.05,20.99,29,0
121,338.49,280.16,62,1
122,101.19,177.32,55,0
123,14.01,338.9,77,0
124,60.99,363.23,54,0
125,136.09,297.78,24,0
126,329.74,236.02,66,1
127,290.64,312.23,71,1
128,171.03,245.35,85,0
129,248.78,382.72,33,1
130,59.28,172.66,49,0
131,349.85,329.95,74,1
132,235.57,217.26,46,0
133,266.27,458.21,81,1
134,143.61,316.22,51,0
135,427.53,159.51,49,1
136,67.93,240.85,23,0
137,219.87,350.21,39,1
138,389.25,177.04,40,1
139,460.41,27.09,23,0
140,39.42,45.37,35,0
141,475.2,239.7,43,1
142,264.81,37.48,71,0
143,275.16,320.54,84,1
144,465.46,33.89,67,0
145,468.31,117.79,32,1
146,295.22,102.94,27,0
147,423.63,381.59,74,1
148,196.63,338.73,71,1
149,94.03,445.14,57,1
150,273.12,225.48,25,0
151,20.82,457.38,23,0
152,485.2,449.12,66,1
153,383.73,298.36,84,1
154,17.59,37.06,61,0
155,475.76,198.74,61,1
156,425.33,185.19,73,1
157,181.22,375.45,88,1
158,440.84,85.84,51,0
159,162.4,495.2,68,1
160,274.07,237.88,89,1
161,309.28,157.64,54,0
162,279.92,313.17,82,1
163,274.73,396.04,72,1
164,443.84,399.04,51,1
165,27.31,458.0,69,0
166,465.93,149.42,85,1
167,125.68,79.71,91,0
168,200.15,310.57,73,0
169,442.72,278.57,76,1
170,237.72,416.83,92,1
171,488.06,180.91,21,1
172,93.05,133.01,22,0
173,492.64,282.76,75,1
174,351.91,195.53,74,1
175,74.78,29.75,77,0
176,420.89,108.36,26,0
177,102.34,169.51,56,0
178,194.88,91.37,64,0
179,253.81,70.19,44,0
180,481.71,134.7,35,1
181,494.76,365.16,86,1
182,199.71,381.52,39,1
183,384.51,482.38,48,1
184,155.95,390.79,63,1
185,128.94,47.51,29,0
186,337.01,124.08,32,0
187,106.41,421.73,55,0
188,70.02,334.83,67,0
189,64.68,197.26,35,0
190,477.71,484.96,35,1
191,343.4,239.93,21,1
192,201.81,93.01,94,0
193,192.77,171.51,84,0
194,177.49,373.02,80,1
195,435.76,78.13,40,0
196,20.94,199.09,39,0
197,307.85,159.17,22,0
198,318.45,40.77,67,0
199,414.66,193.65,82,1
200,53.25,229.8,82,0
201,470.07,311.31,89,1
202,184.42,480.93,45,1
203,243.57,271.9,92,1
204,271.5,27.07,61,0
205,326.26,170.09,84,0
206,488.42,493.46,22,1
207,376.89,373.39,44,1
208,270.2,236.19,26,0
209,269.1,338.87,33,1
210,391.08,137.19,23,0
211,366.74,308.36,52,1
212,307.43,119.58,51,0
213,61.97,363.4,66,0
214,421.39,46.84,57,0
215,227.03,286.26,23,0
216,417.03,413.41,46,1
217,469.55,233.03,91,1
218,395.73,41.46,43,0
219,218.77,487.17,40,1
220,397.12,478.39,88,1
221,345.97,185.86,39,0
222,354.03,371.42,31,1
223,133.8,464.27,30,1
224,280.08,260.48,46,0
225,221.49,321.83,66,1
226,30.27,232.94,33,0
227,32.48,61.51,70,0
228,481.07,80.55,55,1
229,135.5,165.75,27,0
230,16.46,121.04,80,0
231,114.13,30.9,91,0
232,235.99,58.16,83,0
233,446.2,469.75,29,1
234,230.49,203.53,92,0
235,262.04,402.47,94,1
236,433.66,162.54,92,1
237,273.56,301.01,44,1
238,274.4,296.9,81,1
239,274.47,204.0,33,0
240,379.82,110.8,40,0
241,441.35,497.93,23,1
242,433.57,266.63,65,1
243,45.67,197.11,48,0
244,423.61,383.74,24,1
245,52.48,468.09,35,0
246,123.52,112.79,48,0
247,306.87,172.81,55,0
248,98.3,180.43,40,0
