project_id,team_size,planned_duration_days,actual_duration_days,budget_k,actual_cost_k,complexity_score,risk_score,total_tasks,tasks_completed_mid,schedule_variance_days,cost_variance_k,project_success
1,9,176,265,272,376,7,3,153,91,89,104,0
2,17,333,332,443,468,1,4,110,60,-1,25,1
3,13,237,339,299,388,3,8,172,70,102,89,0
4,10,160,226,196,330,9,6,183,54,66,134,0
5,9,181,165,491,621,1,10,58,32,-16,130,0
6,13,83,142,145,281,9,7,55,21,59,136,0
7,13,149,239,306,490,8,8,122,87,90,184,0
8,6,190,240,374,319,1,2,152,120,50,-55,0
9,10,145,219,53,233,6,10,90,58,74,180,0
10,5,104,184,65,217,5,8,163,41,80,152,0
11,4,142,158,329,440,6,3,57,21,16,111,0
12,14,133,191,385,481,10,7,121,32,58,96,0
13,8,283,284,296,400,5,3,141,83,1,104,0
14,4,256,295,307,422,6,7,111,73,39,115,0
15,3,141,187,433,424,5,2,133,100,46,-9,0
16,14,128,187,209,377,5,10,111,51,59,168,0
17,14,182,237,389,520,4,6,160,118,55,131,0
18,19,223,229,201,198,3,3,176,127,6,-3,1
19,12,339,346,445,504,3,3,56,21,7,59,0
20,18,192,243,227,380,4,9,133,95,51,153,0
21,17,237,291,212,394,9,7,181,76,54,182,0
22,17,198,249,429,514,2,5,183,69,51,85,0
23,14,190,253,82,173,9,10,107,63,63,91,0
24,5,97,114,466,553,1,7,71,28,17,87,0
25,7,318,358,494,570,1,9,176,101,40,76,0
26,9,306,327,228,315,5,1,52,29,21,87,0
27,11,333,360,476,599,6,7,176,94,27,123,0
28,9,164,191,150,258,6,6,90,38,27,108,0
29,6,224,279,317,446,3,10,155,82,55,129,0
30,16,157,192,372,509,7,9,63,35,35,137,0
31,11,62,137,114,212,9,1,61,32,75,98,0
32,4,205,254,466,582,10,4,136,63,49,116,0
33,17,51,130,217,321,8,9,61,12,79,104,0
34,9,267,297,379,488,6,4,190,104,30,109,0
35,14,187,239,92,228,8,10,74,22,52,136,0
36,10,67,105,93,161,5,3,94,55,38,68,0
37,17,259,347,334,494,8,9,171,112,88,160,0
38,5,80,132,446,500,10,2,196,98,52,54,0
39,16,293,324,61,78,4,4,104,54,31,17,0
40,19,312,396,144,284,10,6,149,114,84,140,0
41,6,56,118,351,460,8,2,185,131,62,109,0
42,10,255,329,435,621,10,8,168,125,74,186,0
43,6,306,332,302,339,2,8,102,70,26,37,0
44,4,315,344,291,368,5,1,81,21,29,77,0
45,8,126,177,84,191,9,3,100,28,51,107,0
46,12,313,369,264,358,4,10,93,47,56,94,0
47,6,346,380,386,499,6,9,131,45,34,113,0
48,14,333,358,139,213,1,5,195,94,25,74,0
49,4,176,225,313,459,9,6,199,86,49,146,0
50,12,33,68,142,185,1,4,86,45,35,43,0
51,6,64,106,459,596,5,10,145,93,42,137,0
52,16,221,234,139,222,4,2,105,66,13,83,0
53,18,78,125,467,559,3,8,154,78,47,92,0
54,17,46,94,164,273,6,6,108,74,48,109,0
55,10,201,271,154,248,2,5,180,82,70,94,0
